year,purchase_date,item_type,item_name,price_paid,post_lockdown,order_more_than_once,mean_price
2020,2020-01-19,dessert,Tiramisu,9,0,1,9
2020,2020-01-25,dessert,Tiramisu,9,0,1,9
2020,2020-02-01,dessert,Tiramisu,9,0,1,9
2020,2020-02-08,dessert,Tiramisu,9,0,1,9
2020,2020-02-15,dessert,Tiramisu,9,0,1,9
2020,2020-03-07,dessert,Tiramisu,9,0,1,9
2020,2020-03-14,dessert,Tiramisu,9,0,1,9
2020,2020-05-01,dessert,Torta al Cioccolato,9,1,1,9
2020,2020-05-08,dessert,Torta al Cioccolato,9,1,1,9
2020,2020-07-19,dessert,Torta al Cioccolato,9,1,1,9
2020,2020-07-27,dessert,Tiramisu,9,1,1,9
2020,2020-08-02,dessert,Torta al Cioccolato,9,1,1,9
2020,2020-08-26,dessert,Tiramisu,9,1,1,9
2020,2020-09-05,dessert,Tiramisu,10.5,1,1,10.5
2020,2020-10-04,dessert,Torta al Cioccolato,10.5,1,1,10.5
2020,2020-10-18,dessert,Tiramisu,10.5,1,1,10.5
2020,2020-10-24,dessert,Torta al Cioccolato,10.5,1,1,10.5
2020,2020-11-01,dessert,Tiramisu,10.5,1,1,10.5
2020,2020-11-20,dessert,Tiramisu,12,1,1,12
2021,2021-01-26,dessert,Cheesecake ai mirtilli,11,1,1,11
2021,2021-04-23,dessert,Tiramisu,11,1,1,11
2021,2021-05-29,dessert,Tiramisu,11,1,1,11
2021,2021-10-08,dessert,Tiramisu,11,1,1,11
2022,2022-01-28,dessert,Tiramisu,11,1,1,11
2022,2022-03-27,dessert,Tiramisu,11,1,1,11
